"KOC","Tuyen","Creative","SoBan","Spend","Mua","CPA","CTR","Ids"
"Ăn nhưng không béo","Tóc đẹp đi làm","Muốn đẹp trai hãy đến 30shine, để có mái tóc tự tin đi du lịch biển mùa hè","7","6764780","251","26951","0.94","120246187477640232; 120244768214570232; 120244731812280232; 120245527920930232; 120245524117920232; 120246076935560232; 120246027266800232"
"Ăn nhưng không béo","Tóc đẹp đi làm","Tút tát nhan sắc, rinh ngay tóc xịn","1","72890","2","36445","0.17","120247223692420232"
"Ăn nhưng không béo","Tóc đẹp đi làm","Chìa khóa để tự tin rạng rỡ trên bãi biển hè này chính là một mái tóc chuẩn men","1","21218","0","0","0.09","120247223160370232"
"Bùi Đình Công","Tour du lịch thư giãn 45 phút","Đi cắt tóc ở 30Shine mà cứ ngỡ như đi nghỉ dưỡng ấy mọi người ạ","7","1904627","79","24109","0.48","120242655812920232; 120246185782540232; 120242655405570232; 120246077020730232; 120246027320940232; 120246186014160232; 120246185987640232"
"Đặng Tiến Đông","Tóc đẹp đi làm","Bật mí bí kíp để luôn tự tin trước khi lên sân khấu của MC Tiến Đông","7","6505401","267","24365","0.69","120246187477650232; 120245527920880232; 120245524118040232; 120244768214580232; 120244731812270232; 120246076935590232; 120246027266860232"
"Đặng Tiến Đông","Tóc đẹp đi làm","Các vợ có thấy nóng không","1","184300","5","36860","0.23","120247223692330232"
"Đặng Tiến Đông","Tóc đẹp đi làm","Khám phá bí quyết giữ vững phong thái và làm chủ mọi sân khấu","1","61752","1","61752","0.33","120247223160350232"
"Đặng Tiến Đông","Tóc đẹp đi làm","Các vợ ơi, Hà Nội gần 40°C rồi","1","30391","1","30391","0.39","120247223160290232"
"Đặng Tiến Đông","Tóc đẹp đi làm","Hà Nội nắng như rang","1","30285","0","0","0.62","120247223692380232"
"Đặng Tiến Đông","Tóc đẹp đi làm","MC Tiến Đông làm gì để luôn tỏa sáng và thần thái","1","27219","0","0","0.23","120247223692410232"
"Hoang Nam Dang","Tóc đẹp đi làm","HÈ NÀY ĐỪNG ĐỂ TÓC BẾT LÀM ""NGHẼN"" CÔNG VIỆC!","11","28183079","1034","27256","1.36","120246187475760232; 120245524117890232; 120245527920850232; 120244767802430232; 120244768214530232; 120246076935640232; 120246027266880232; 120245526486030232; 120246187600700232; 120246027266850232; 120245527920870232"
"Hoang Nam Dang","Tour du lịch thư giãn 45 phút","Khi thời tiết và công việc cùng khiến bạn bực bội","1","47997","2","23998","0.17","120247226150550232"
"Hoang Nam Dang","Tour du lịch thư giãn 45 phút","Trời nóng làm người cũng nóng theo, công việc lại chẳng mấy suôn sẻ","1","131824","1","131824","0.11","120247226150480232"
"Hoang Nam Dang","Tour du lịch thư giãn 45 phút","Nắng nóng, deadline dí, vận xui ghé thăm","1","110720","0","0","0.12","120247226150520232"
"Hoàng Trần Anh","Tóc đẹp đi làm","Tới 30 Shine ngay và luôn cho tôi nhé mấy ông ơi","9","29317586","1537","19075","1.85","120242655764300232; 120246077020700232; 120243439981680232; 120246187477610232; 120246026940940232; 120246026998470232; 120246027320860232; 120246076935510232; 120246027266740232"
"Hoàng Trần Anh","Tour du lịch thư giãn 45 phút","Mùa hè này muốn đẹp trai hơn thì bắt đầu từ mái tóc","1","50206","2","25103","0.22","120247226150460232"
"Hoàng Trần Anh","Tour du lịch thư giãn 45 phút","Trời nóng quá thì đừng chịu đựng nữa","1","82641","0","0","0.06","120247226150500232"
"Hoàng Trần Anh","Tour du lịch thư giãn 45 phút","122k mà vừa được cắt tóc, gội đầu, massage thư giãn thì quá hời luôn","1","172766","0","0","0.1","120247226150540232"
"Kai","Tóc đẹp đi làm","Trải nghiệm ngay dịch vụ đỉnh cao ở 30Shine","5","4344102","138","31479","1.16","120246187351990232; 120246026866870232; 120246026998460232; 120246076935520232; 120246027266750232"
"Kai","Tour du lịch thư giãn 45 phút","Đầu tư cho bản thân không phải điều xa xỉ","1","35228","1","35228","0.04","120247226150530232"
